ABELARDO CAMARINHA,PSB,SP,Titular,4,609,3215-5609,3215-2609,03,22,dep.abelardocamarinha@camara.gov.br,Advogado e Professor,JOSÉ ABELARDO GUIMARÃES CAMARINHA
ABELARDO LUPION,DEM,PR,Titular,4,515,3215-5515,3215-2515,08,25,dep.abelardolupion@camara.gov.br,Agropecuarista e Empresário,ABELARDO LUIZ LUPION MELLO
ACELINO POPÓ,PRB,BA,Titular,4,345,3215-5345,3215-2345,,,,,ACELINO FREITAS
ADEMIR CAMILO,PDT,MG,Titular,4,212,3215-5212,3215-2212,05,30,dep.ademircamilo@camara.gov.br,"Médico, Advogado",ADEMIR CAMILO PRATES RODRIGUES
ADRIAN,PMDB,RJ,Titular,4,441,3215-5441,3215-2441,03,11,dep.adrian@camara.gov.br,,ADRIAN MUSSI RAMOS
AELTON FREITAS,PR,MG,Titular,4,204,3215-5204,3215-2204,12,15,dep.aeltonfreitas@camara.gov.br,"Produtor Rural, Empresário, Engenheiro Agrônomo",AELTON JOSÉ DE FREITAS
AFONSO HAMM,PP,RS,Titular,4,604,3215-5604,3215-2604,04,25,dep.afonsohamm@camara.gov.br,Engenheiro Agrônomo,JOSÉ ALFONSO EBERT HAMM
AGNOLIN,PDT,TO,Titular,3,367,3215-5367,3215-2367,09,18,dep.agnolin@camara.gov.br,Empresário,JOSELI ÂNGELO AGNOLIN
AGUINALDO RIBEIRO,PP,PB,Titular,4,735,3215-5735,3215-2735,02,13,dep.aguinaldoribeiro@camara.gov.br,Administrador,AGUINALDO VELLOSO BORGES RIBEIRO
ALBERTO FILHO,PMDB,MA,Titular,4,617,3215-5617,3215-2617,02,10,dep.albertofilho@camara.gov.br,Bacharel Em Direito,JOSÉ ALBERTO OLIVEIRA VELOSO FILHO
ALCEU MOREIRA,PMDB,RS,Titular,4,445,3215-5445,3215-2445,06,04,dep.alceumoreira@camara.gov.br,Comerciante,ALCEU MOREIRA DA SILVA
ALDO REBELO,PCdoB,SP,Titular,2,15,32155967,32152967,02,23,dep.aldorebelo@camara.gov.br,Jornalista e Redator,JOSÉ ALDO REBELO FIGUEIREDO
ALESSANDRO MOLON,PT,RJ,Titular,4,652,3215-5652,3215-2652,10,28,dep.alessandromolon@camara.gov.br,"Advogado, Professor Universitário",ALESSANDRO LUCCIOLA MOLON
ALEX CANZIANI,PTB,PR,Titular,4,842,3215-5842,3215-2842,06,11,dep.alexcanziani@camara.gov.br,Registrador de Imóveis,ALEX CANZIANI SILVEIRA
ALEXANDRE LEITE,DEM,SP,Titular,4,841,3215-5841,3215-2841,04,18,dep.alexandreleite@camara.gov.br,Empresário,ALEXANDRE LEITE DA SILVA
ALEXANDRE ROSO,PSB,RS,Titular,4,742,3215-5742,3215-2742,11,12,dep.alexandreroso@camara.gov.br,Médico,ALEXANDRE RUBIO ROSO
ALEXANDRE SANTOS,PMDB,RJ,Titular,4,331,3215-5331,3215-2331,09,04,dep.alexandresantos@camara.gov.br,Empresário,ALEXANDRE JOSÉ DOS SANTOS
ALFREDO KAEFER,PSDB,PR,Titular,4,818,3215-5818,3215-2818,11,07,dep.alfredokaefer@camara.gov.br,Industrial,JACOB ALFREDO STOFFELS KAEFER
ALFREDO SIRKIS,PV,RJ,Titular,4,240,32155240,3215-2240,12,08,dep.sirkis@camara.gov.br,Jornalista,ALFREDO HELIO SYRKIS
ALICE PORTUGAL,PCdoB,BA,Titular,4,420,3215-5420,3215-2420,05,16,dep.aliceportugal@camara.gov.br,Química Industrial e Farmacêutica Bioquímica,ALICE MAZZUCO PORTUGAL
ALINE CORRÊA,PP,SP,Titular,4,511,3215-5511,3215-2511,03,25,dep.alinecorrea@camara.gov.br,Empresária,ALINE LEMOS CORRÊA DE OLIVEIRA ANDRADE
ALMEIDA LIMA,PMDB,SE,Titular,4,726,3215-5726,3215-2726,09,28,dep.almeidalima@camara.gov.br,"Advogado, Professor de Direito",JOSÉ ALMEIDA LIMA
AMAURI TEIXEIRA,PT,BA,Titular,4,237,3215-5237,3215-2237,12,01,dep.amauriteixeira@camara.gov.br,Auditor-fiscal,AMAURI SANTOS TEIXEIRA
ANA ARRAES,PSB,PE,Titular,4,846,3215-5846,3215-2846,07,28,dep.anaarraes@camara.gov.br,Advogado,ANA LÚCIA ARRAES DE ALENCAR
ANDERSON FERREIRA,PR,PE,Titular,3,272,3215-5272,3215-2272,12,10,dep.andersonferreira@camara.gov.br,,ANDERSON FERREIRA RODRIGUES
ANDRE DIAS,PSDB,PA,Titular,4,336,3215-5336,3215-2336,,,,,ANDRE TEIXERA DIAS
ANDRÉ FIGUEIREDO,PDT,CE,Titular,4,940,3215-5940,3215-2940,11,10,dep.andrefigueiredo@camara.gov.br,"Advogado, Economista, Empresário",ANDRÉ PEIXOTO FIGUEIREDO LIMA
ANDRE MOURA,PSC,SE,Titular,3,380,3215-5380,3215-2380,02,23,dep.andremoura@camara.gov.br,Político,ANDRÉ LUIS DANTAS FERREIRA
ANDRE VARGAS,PT,PR,Titular,4,923,3215-5923,3215-2923,03,02,dep.andrevargas@camara.gov.br,Comerciante,ANDRÉ LUIZ VARGAS ILÁRIO
ANDRÉ ZACHAROW,PMDB,PR,Titular,4,238,3215-5238,3215-2238,07,07,dep.andrezacharow@camara.gov.br,"Advogado, Economista, Professor",ANDRÉ ZACHAROW
ANDREIA ZITO,PSDB,RJ,Titular,4,636,3215-5636,3215-2636,07,13,dep.andreiazito@camara.gov.br,Bacharel Em Direito,ANDREIA ALMEIDA ZITO DOS SANTOS
ANGELO VANHONI,PT,PR,Titular,3,672,3215-5672,3215-2672,06,19,dep.angelovanhoni@camara.gov.br,Bancário,ANGELO CARLOS VANHONI
ANÍBAL GOMES,PMDB,CE,Titular,4,731,3215-5731,3215-2731,06,07,dep.anibalgomes@camara.gov.br,Cirurgião-dentista e Agropecuarista,ANÍBAL FERREIRA GOMES
ANTHONY GAROTINHO,PR,RJ,Titular,4,714,3215-5714,3215-2714,04,18,dep.anthonygarotinho@camara.gov.br,Radialista,ANTHONY WILLIAM GAROTINHO MATHEUS DE OLIVEIRA
ANTÔNIA LÚCIA,PSC,AC,Titular,4,444,3215-5444,3215-2444,07,17,dep.antonialucia@camara.gov.br,,ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA
ANTÔNIO ANDRADE,PMDB,MG,Titular,4,305,3215-5305,3215-2305,06,18,dep.antonioandrade@camara.gov.br,Engenheiro Civil e Produtor Rural,ANTÔNIO EUSTÁQUIO ANDRADE FERREIRA
ANTONIO BALHMANN,PSB,CE,Titular,4,522,3215-5522,3215-2522,08,22,dep.antoniobalhmann@camara.gov.br,Engenheiro Mecânico,ANTONIO BALHMANN CARDOSO NUNES FILHO
ANTONIO BRITO,PTB,BA,Titular,3,479,3215-5479,3215-2479,01,17,dep.antoniobrito@camara.gov.br,Administrador de Empresas,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO
ANTONIO BULHÕES,PRB,SP,Titular,4,327,3215-5327,3215-2327,05,05,dep.antoniobulhoes@camara.gov.br,"Apresentador de Televisão, Administrador, Teólogo e Bispo Evangélico",ANTONIO CARLOS MARTINS DE BULHÕES
ANTÔNIO CARLOS BIFFI,PT,MS,Titular,4,260,3215-5260,3215-2260,03,09,dep.antoniocarlosbiffi@camara.gov.br,Professor de Ensino de Primeiro e Segundo Graus,ANTONIO CARLOS BIFFI
ANTONIO CARLOS MAGALHÃES NETO,DEM,BA,Titular,4,939,32158269,3215-2939,01,26,dep.antoniocarlosmagalhaesneto@camara.gov.br,Advogado,ANTÔNIO CARLOS PEIXOTO DE MAGALHÃES NETO
ANTONIO CARLOS MENDES THAME,PSDB,SP,Titular,4,624,3215-5624,3215-2624,06,13,dep.antoniocarlosmendesthame@camara.gov.br,Professor Universitário.,ANTONIO CARLOS DE MENDES THAME
ANTONIO IMBASSAHY,PSDB,BA,Titular,4,810,3215-5810,3215-2810,03,12,dep.antonioimbassahy@camara.gov.br,Engenheiro Eletricista,ANTONIO JOSÉ IMBASSAHY DA SILVA
ANTÔNIO ROBERTO,PV,MG,Titular,4,712,3215-5712,3215-2712,06,20,dep.antonioroberto@camara.gov.br,"Consultor Empresarial Em Comportamento Humano, Administrador",ANTÔNIO ROBERTO SOARES
ARACELY DE PAULA,PR,MG,Titular,4,201,3215-5201,3215-2201,05,03,dep.aracelydepaula@camara.gov.br,Advogado,ARACELY DE PAULA
ARIOSTO HOLANDA,PSB,CE,Titular,3,575,3215-5575,3215-2575,10,11,dep.ariostoholanda@camara.gov.br,Professor Universitário e Engenheiro Civil,FRANCISCO ARIOSTO HOLANDA
ARLINDO CHINAGLIA,PT,SP,Titular,1,4,32155966,32152966,12,24,dep.arlindochinaglia@camara.gov.br,Médico,ARLINDO CHIGNALIA JUNIOR
ARMANDO VERGÍLIO,PMN,GO,Titular,4,816,3215-5816,3215-2816,08,03,dep.armandovergilio@camara.gov.br,Corretor de Seguros,ARMANDO VERGÍLIO DOS SANTOS JÚNIOR
ARNALDO FARIA DE SÁ,PTB,SP,Titular,4,929,3215-5929,3215-2929,12,30,dep.arnaldofariadesa@camara.gov.br,"Contabilista, Radialista, Professor e Advogado",ARNALDO FARIA DE SÁ
ARNALDO JARDIM,PPS,SP,Titular,4,245,3215-5245,3215-2245,05,08,dep.arnaldojardim@camara.gov.br,Engeheiro Civil e Professor,ARNALDO CALIL PEREIRA JARDIM
ARNALDO JORDY,PPS,PA,Titular,3,376,3215-5376,3215-2376,11,30,dep.arnaldojordy@camara.gov.br,Político,ARNALDO JORDY FIGUEIREDO
ARNON BEZERRA,PTB,CE,Titular,4,413,3215-5413,3215-2413,08,13,dep.arnonbezerra@camara.gov.br,Médico,JOSÉ ARNON CRUZ BEZERRA DE MENEZES
AROLDE DE OLIVEIRA,DEM,RJ,Titular,4,917,3215-5917,3215-2917,03,11,dep.aroldedeoliveira@camara.gov.br,"Engenheiro, Economista e Professor",AROLDE DE OLIVEIRA
ARTHUR LIRA,PP,AL,Titular,4,942,3215-5942,3215-2942,06,25,dep.arthurlira@camara.gov.br,"Agropecuarista, Bacharel Em Direito, Empresário",ARTHUR CÉSAR PEREIRA DE LIRA
ARTHUR OLIVEIRA MAIA,PMDB,BA,Titular,4,537,3215-5537,3215-2537,08,17,dep.arthuroliveiramaia@camara.gov.br,Advogado,ARTHUR DE OLIVEIRA MAIA DA SILVA
ARTUR BRUNO,PT,CE,Titular,3,467,3215-5467,3215-2467,08,04,dep.arturbruno@camara.gov.br,Educador,ARTUR JOSÉ VIEIRA BRUNO
ASSIS CARVALHO,PT,PI,Titular,4,909,3215-5909,3215-2909,09,09,dep.assiscarvalho@camara.gov.br,Funcionário Público Federal,FRANCISCO DE ASSIS CARVALHO GONÇALVES
ASSIS DO COUTO,PT,PR,Titular,4,428,3215-5428,3215-2428,10,17,dep.assisdocouto@camara.gov.br,Agricultor,ASSIS MIGUEL DO COUTO
ASSIS MELO,PCdoB,RS,Titular,4,605,3215-5605,3215-2605,09,14,dep.assismelo@camara.gov.br,Metalúrgico,ASSIS FLÁVIO DA SILVA MELO
ÁTILA LINS,PMDB,AM,Titular,4,730,3215-5730,3215-2730,11,22,dep.atilalins@camara.gov.br,"Servidor Público, Bacharel Em Direito e Economista",ÁTILA SIDNEY LINS ALBUQUERQUE
AUDIFAX,PSB,ES,Titular,3,574,3215-5574,3215-2574,05,09,dep.audifax@camara.gov.br,"Administrador, Economista",AUDIFAX CHARLES PIMENTEL BARCELOS
AUGUSTO CARVALHO,PPS,DF,Titular,4,352,3215-5352,3215-2352,07,27,,,AUGUSTO SILVEIRA DE CARVALHO
AUGUSTO COUTINHO,DEM,PE,Titular,4,835,3215-5835,3215-2835,10,22,dep.augustocoutinho@camara.gov.br,Engenheiro Civil,AUGUSTO RODRIGUES COUTINHO DE MELO
AUREO,PRTB,RJ,Titular,3,581,3215-5581,3215-2581,02,17,dep.aureo@camara.gov.br,Empresário,AUREO LIDIO MOREIRA RIBEIRO
BENEDITA DA SILVA,PT,RJ,Titular,4,330,3215-5330,3215-2330,04,26,dep.beneditadasilva@camara.gov.br,"Assistente Social, Auxiliar de Enfermagem, Professor, Servidor Público",BENEDITA SOUZA DA SILVA SAMPAIO
BENJAMIN MARANHÃO,PMDB,PB,Titular,4,458,3215-5458,3215-2458,11,30,dep.benjaminmaranhao@camara.gov.br,Cirurgião-dentista,BENJAMIN GOMES MARANHÃO NETO
BERINHO BANTIM,PSDB,RR,Titular,4,737,3215-5737,3215-2737,11,20,dep.berinhobantim@camara.gov.br,,HERBSON JAIRO RIBEIRO BANTIM
BERNARDO SANTANA DE VASCONCELLOS,PR,MG,Titular,4,854,3215-5854,3215-2854,12,08,dep.bernardosantanadevasconcellos@camara.gov.br,Advogado,BERNARDO DE VASCONCELLOS MOREIRA
BETO FARO,PT,PA,Titular,4,723,3215-5723,3215-2723,06,20,dep.betofaro@camara.gov.br,Agricultor Familiar,JOSÉ ROBERTO OLIVEIRA FARO
BETO MANSUR,PP,SP,Titular,4,616,3215-5616,3215-2616,07,07,dep.betomansur@camara.gov.br,"Radialista, Empresário e Engenheiro Eletrônico",PAULO ROBERTO GOMES MANSUR
BONIFÁCIO DE ANDRADA,PSDB,MG,Titular,4,431,32155431,3215-2431,05,14,,Advogado e Professor Universitário,BONIFÁCIO JOSÉ TAMM DE ANDRADA
BRUNA FURLAN,PSDB,SP,Titular,4,836,3215-5836,3215-2836,04,28,dep.brunafurlan@camara.gov.br,,BRUNA DIAS FURLAN
BRUNO ARAÚJO,PSDB,PE,Titular,4,718,3215-5718,3215-2718,03,15,dep.brunoaraujo@camara.gov.br,Advogado,BRUNO CAVALCANTI DE ARAÚJO
CAMILO COLA,PMDB,ES,Titular,3,469,3215-5469,3215-2469,07,26,,,CAMILO COLA
CÂNDIDO VACCAREZZA,PT,SP,Titular,4,958,3215-5958,3215-2958,09,26,dep.candidovaccarezza@camara.gov.br,Médico Ginecologista e Obstetra,CÂNDIDO ELPÍDIO DE SOUZA VACCAREZZA
CARLAILE PEDROSA,PSDB,MG,Titular,4,824,3215-5824,3215-2824,10,03,dep.carlailepedrosa@camara.gov.br,Comerciante,CARLAILE JESUS PEDROSA
CARLOS ALBERTO LERÉIA,PSDB,GO,Titular,4,830,3215-5830,3215-2830,06,19,dep.carlosalbertolereia@camara.gov.br,Radialista,CARLOS ALBERTO LERÉIA DA SILVA
